Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,36,100.0,0.001,0.3312,0.0704,0.3299,0.0704
only_flares,36,100.0,0.005,0.3352,0.0656,0.334,0.0654
only_flares,36,1000.0,1.0,0.3093,0.0892,0.3094,0.089
only_flares,36,1000.0,0.1,0.2666,0.0875,0.2668,0.0874
only_flares,36,1000.0,0.01,0.3353,0.0868,0.3344,0.0868
only_flares,36,1000.0,0.07,0.2835,0.0839,0.2837,0.0839
only_flares,36,1000.0,0.001,0.3291,0.067,0.3279,0.0666
only_flares,36,1000.0,0.005,0.3452,0.0558,0.3444,0.0558
only_flares,36,10000.0,1.0,0.3093,0.0892,0.3094,0.089
only_flares,36,10000.0,0.1,0.2551,0.0901,0.2552,0.0899
only_flares,36,10000.0,0.01,0.3198,0.0884,0.3193,0.0884
only_flares,36,10000.0,0.07,0.2664,0.085,0.2665,0.0844
only_flares,36,10000.0,0.001,0.3405,0.0702,0.3391,0.0697
only_flares,36,10000.0,0.005,0.3458,0.0765,0.3453,0.0767
only_flares,36,100000.0,1.0,0.3093,0.0892,0.3094,0.089
only_flares,36,100000.0,0.1,0.2508,0.0921,0.251,0.0919
only_flares,36,100000.0,0.01,0.2966,0.0799,0.2964,0.0804
only_flares,36,100000.0,0.07,0.2411,0.1072,0.241,0.1069
only_flares,36,100000.0,0.001,0.3385,0.0692,0.3376,0.0694
only_flares,36,100000.0,0.005,0.3219,0.0782,0.3211,0.0783
flare_linked,36,0.001,1.0,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.1,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.01,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.07,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.001,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.005,0.0,0.0,0.0,0.0
flare_linked,36,0.01,1.0,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.1,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.01,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.07,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.001,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.005,0.0,0.0,0.0,0.0
flare_linked,36,0.1,1.0,0.0637,0.0644,0.0652,0.0616
flare_linked,36,0.1,0.1,0.1749,0.0859,0.129,0.0644
flare_linked,36,0.1,0.01,0.1388,0.093,0.0939,0.0629
flare_linked,36,0.1,0.07,0.1733,0.0823,0.1258,0.061
flare_linked,36,0.1,0.001,0.1348,0.0781,0.1042,0.0694
flare_linked,36,0.1,0.005,0.1137,0.067,0.0738,0.0434
flare_linked,36,1.0,1.0,0.1432,0.0838,0.1424,0.0797
