datatype,sampling,time_step,penalty,C,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Temporal,RandomOverSampler,36,l1,10.0,0.3239247311827957,0.16294107247041792,0.3010752688172043,0.04433446909266301,0.7044444444444445,0.0630850046607841,0.625,0.14550717260020726
Temporal,RandomOverSampler,36,l2,0.001,0.1292390405293631,0.1262379991930909,0.3387096774193548,0.045619792334615966,0.7820623418449505,0.05180356413850341,0.467948717948718,0.12201958577153191
Temporal,RandomOverSampler,36,l2,0.01,0.19172180865729252,0.1312753510410343,0.34139784946236557,0.062061270863522554,0.7557690092165897,0.06787700172039832,0.5331196581196581,0.10968950027641221
Temporal,RandomOverSampler,36,l2,0.05,0.21053901295836777,0.1234243876831938,0.3225806451612903,0.04656050557980852,0.7488770225276973,0.05486493057742821,0.5331196581196581,0.10968950027641221
Temporal,RandomOverSampler,36,l2,0.1,0.22397987317342158,0.12652746345001345,0.30913978494623656,0.06135866779845875,0.7384583088988951,0.06129257287924365,0.5331196581196581,0.10968950027641221
Temporal,RandomOverSampler,36,l2,1.5,0.3288530465949821,0.13949561358506268,0.282258064516129,0.051638098688974586,0.6964282630949298,0.06021228872878049,0.6111111111111112,0.14274719739435116
Temporal,RandomOverSampler,36,l2,10.0,0.33198924731182794,0.14370581676167063,0.29301075268817206,0.06412290560148691,0.6940854540196645,0.061704660623779876,0.625,0.11525099100234105
Temporal,RandomUnderSampler,12,l1,0.001,,,,,,,,
Temporal,RandomUnderSampler,12,l1,0.01,,,,,,,,
Temporal,RandomUnderSampler,12,l1,0.05,,,,,,,,
Temporal,RandomUnderSampler,12,l1,0.1,0.030515491452991438,0.12142715394308834,0.5442708333333334,0.10002815808206587,0.834895710623741,0.034591356539869486,0.5747863247863247,0.14862336121606154
Temporal,RandomUnderSampler,12,l1,1.5,0.1786725427350427,0.11498551378427888,0.3832932692307692,0.03632479859932548,0.7830513287175372,0.03780850069330277,0.5619658119658119,0.11229643883308471
